CITATION	citation	PubMed.ID
CLUSTERS	clusters	Clusters
COMMENTS	comments	Comments
DOMAINS	domains	Domains
DOMAIN	domain	Domain.count
EC	ec	EC.number
ID	id	Entry
ENTRY-NAME	entry name	Entry.name
EXISTENCE	existence	Protein.existence
FAMILIES	families	Protein.families
FEATURES	features	Features
GENES	genes	Gene.names
GO	go	Gene.ontology..GO.
GO-ID	go-id	Gene.ontology.IDs
INTERPRO	interpro	InterPro
INTERACTOR	interactor	Interacts.with
KEYWORDS	keywords	Keywords
KEYWORD-ID	keyword-id	Keyword.ID
LAST-MODIFIED	last-modified	Date.of.last.modification
LENGTH	length	Length
ORGANISM	organism	Organism
ORGANISM-ID	organism-id	Organism.ID
PATHWAY	comment(PATHWAY)	Pathway
PROTEIN-NAMES	protein names	Protein.names
REVIEWED	reviewed	Status
SCORE	annotation score	Annotation
SEQUENCE	sequence	Sequence
3D	3d	X3D
SUBCELLULAR-LOCATIONS	comment(SUBCELLULAR LOCATION)	Subcellular.location
TAXONOMIC-LINEAGE	lineage(all)	Taxonomic.lineage..all.
TOOLS	tools	Tools
VERSION	version	Version
VIRUS-HOSTS	virus hosts	Virus.hosts
DATABASE(PFAM)	database(pfam)	Cross.reference..pfam.
DATABASE(PDB)	database(pdb)	Cross.reference..pdb.
FUNCTION	comment(FUNCTION)	Function
