,t,m
MAST4,-5.44098906182877,-8.16148359274315
MOCS1,-5.440627282102,-8.160940923153
ARRDC3,5.43151446554528,8.14727169831792
SLC4A11,-5.43086848340447,-8.1463027251067
MT1M,-5.95537265500892,-8.93305898251338
S100A16,5.39917759970287,8.09876639955431
OLFML2A,-5.29486497407642,-7.94229746111463
GPRC5C,-5.25493685294681,-7.88240527942022
TMEM106B,-5.24800967497507,-7.87201451246261
LIPA,-5.21666991197094,-7.82500486795641
PHACTR2,-5.19374268135689,-7.79061402203534
C14orf132,-5.62445042757541,-8.43667564136311
ELF3,-5.15320923702112,-7.72981385553168
NR0B2,-5.6097021092389,-8.41455316385835
PREPL,-5.13847332049157,-7.70770998073735
NUP210,-5.13670915520966,-7.70506373281449
ITGB8,5.12150774276584,7.68226161414876
CD83,5.09665901637354,7.64498852456031
RNF182,5.06782116518139,7.60173174777209
FAM107B,-5.44759486151249,-8.17139229226873
ARHGAP42,-5.0051354541419,-7.50770318121285
HILPDA,-4.96147622248315,-7.44221433372473
TMPRSS2,-5.358647395739,-8.0379710936085
FLVCR2,-4.92918511357825,-7.39377767036738
NIBAN2,4.92157688936667,7.38236533405001
NAV3,4.91742462184969,7.37613693277454
NALCN,-4.89914314998816,-7.34871472498224
SH3BP5,4.88264664158611,7.32396996237916
MGP,4.88228059208196,7.32342088812294
AHCYL1,-4.86588365362876,-7.29882548044314
THSD1,4.83055150652102,7.24582725978153
RAP1B,4.82649233912363,7.23973850868544
ANPEP,4.77584468142683,7.16376702214025
CD99L2,-4.73902353222935,-7.10853529834402
ALPG,-4.73171048801232,-7.09756573201848
RETSAT,-4.71914832379058,-7.07872248568587
TMEM205,-4.70614119811825,-7.05921179717738
ACP6,-4.70537029594047,-7.05805544391071
ADGRG1,4.70536125433405,7.05804188150107
LPAR6,-4.7036789587509,-7.05551843812635
GJB2,-4.67440194968699,-7.01160292453048
ATP2B4,4.66144611435332,6.99216917152998
AIG1,-4.65538977590182,-6.98308466385273
C11orf45,-4.65215914940725,-6.97823872411088
PLAAT3,-4.58703895270843,-6.88055842906265
LAMB2,-4.57668719966053,-6.86503079949079
FKBP1B,-4.5730786367838,-6.8596179551757
SLC29A3,-4.56327345001974,-6.84491017502961
EFEMP1,-4.55096497894932,-6.82644746842398
NT5E,4.54236151936094,6.81354227904141
IL15RA,4.52826984732482,6.79240477098723
GSTM3,-4.51575405091111,-6.77363107636667
HIST1H2AC,-4.50428859017548,-6.75643288526322
SEMA3A,-4.49818231160052,-6.74727346740078
IL6R,-4.48589054525184,-6.72883581787776
ADPRH,-4.48551432461342,-6.72827148692013
WBP1L,-4.48251108549935,-6.72376662824903
SRGN,4.4478617730664,6.6717926595996
PLAUR,4.44752283494183,6.67128425241274
ATP9A,-4.72129415030678,-7.08194122546017
NR3C1,4.43410642373096,6.65115963559644
TCF7,4.42756992504363,6.64135488756544
GNG4,4.41589286849795,6.62383930274693
CSPG4,4.40696354076669,6.61044531115004
PDE6B,-4.40693192744181,-6.61039789116271
SERINC2,4.40436517099363,6.60654775649045
ARHGEF6,-4.39204002924421,-6.58806004386632
NMI,4.38543175007103,6.57814762510654
C6orf132,-4.37768335146206,-6.56652502719309
MMP14,4.36835295972045,6.55252943958067
MYO5C,-4.34667834698109,-6.52001752047163
CTSH,-4.34039972126844,-6.51059958190266
SHH,4.32951180332221,6.49426770498332
LAYN,-4.32102239278262,-6.48153358917393
SLC2A1,4.3175041203679,6.47625618055185
EPB41L5,-4.31590319925945,-6.47385479888918
CCNJL,-4.31234723561348,-6.46852085342022
HELB,4.30701013083611,6.46051519625416
LGR4,-4.28649676259557,-6.42974514389336
PDLIM7,4.28545496121306,6.42818244181959
FILIP1L,-4.28504866858248,-6.42757300287372
RAMP1,4.26408189659919,6.39612284489878
ARL4D,4.26296316738749,6.39444475108123
MYOZ3,4.25904101418247,6.38856152127371
GRHL3,-4.23984643722576,-6.35976965583864
PPM1B,-4.23465601715372,-6.35198402573058
APOL1,4.23280633579645,6.34920950369468
COL6A1,4.22427108929991,6.33640663394986
SNCG,4.19777336098171,6.29666004147257
FHOD3,4.18059249020598,6.27088873530897
DYNC2LI1,-4.15417554047572,-6.23126331071358
CD24,-4.1455640851788,-6.2183461277682
CES1,-4.14330839432435,-6.21496259148653
CALB2,4.14286104143645,6.21429156215467
FOXS1,4.14162652337449,6.21243978506173
MANSC1,-4.13788023353113,-6.2068203502967
SH2B3,4.13418035479287,6.20127053218931
PLEKHB1,-4.1280952980297,-6.19214294704455
ZDHHC7,-4.12416709249197,-6.18625063873796
TMEM173,4.11832875197812,6.17749312796718
MANBA,-4.11026547343294,-6.16539821014941
RHCG,-4.10349957157881,-6.15524935736822
ATP6V0E2,-4.09652411930309,-6.14478617895463
TTYH2,-4.09225169120628,-6.13837753680942
IDS,-4.08446439964719,-6.12669659947078
GJA1,-4.08003054011171,-6.12004581016756
GALNT10,-4.07906609740182,-6.11859914610273
DCBLD2,4.06865853641935,6.10298780462903
EXOSC5,4.04589094440562,6.06883641660843
MPV17L,-4.03154503436078,-6.04731755154117
DHX32,-4.03020789882959,-6.04531184824438
TP53I3,-4.02777264760025,-6.04165897140037
LOXL4,4.01965430422071,6.02948145633107
DNMT3A,-4.00622647631209,-6.00933971446814
HYKK,-4.00378025020955,-6.00567037531432
PHKA1,-4.00275525696236,-6.00413288544354
GRIK2,-3.9966509182382,-5.9949763773573
HIST1H2BD,-3.99568867662102,-5.99353301493153
SCUBE3,-3.99179296351849,-5.98768944527774
TIAM1,3.9893542975047,5.98403144625705
TGFA,4.15945983357258,6.23918975035887
CD82,3.97933972921296,5.96900959381944
KIRREL1,3.96105894606299,5.94158841909448
FMNL3,3.95597135949021,5.93395703923531
PAPLN,-3.94383442940616,-5.91575164410924
PNPO,-3.93955655113935,-5.90933482670903
CLTCL1,-3.93162330856047,-5.89743496284071
BRWD3,-3.92934709284352,-5.89402063926528
ANKRD13A,-3.91770989257064,-5.87656483885596
CLDN3,3.90469398311418,5.85704097467127
APOL6,3.9043758925976,5.8565638388964
DPY19L3,-3.89524362548826,-5.84286543823239
AK9,-3.89161216836318,-5.83741825254477
CD55,-3.88874453255592,-5.83311679883388
PDLIM1,-3.88541336597695,-5.82812004896542
MIA,3.88389731081767,5.82584596622651
ERAP2,3.88263609582876,5.82395414374314
SNAP25,4.0409219073894,6.0613828610841
TGFB2,-3.87915723169473,-5.81873584754209
ITGA3,3.8779132028809,5.81686980432135
SNX21,3.87570207743691,5.81355311615537
EURL,3.87084880257823,5.80627320386735
ROR1,3.84903600572054,5.77355400858081
NEU1,-3.84181826114033,-5.7627273917105
SERTAD2,3.84141982116863,5.76212973175295
HIF1A,3.82320287810313,5.73480431715469
CLIP2,3.82309553069986,5.73464329604979
MYL5,-3.82294667734757,-5.73442001602135
RBBP9,-3.81588862475814,-5.72383293713721
TCEAL9,-3.79989270992175,-5.69983906488263
DHRS1,-3.78654309055754,-5.67981463583631
IRF2BPL,-3.78531366404829,-5.67797049607243
ZNF619,-3.7831127759009,-5.67466916385135
EHD4,3.78212796881324,5.67319195321986
LPIN2,-3.78199312461537,-5.67298968692305
SLC37A1,-3.77688606543142,-5.66532909814713
WBP1,-3.77595753766153,-5.6639363064923
ITGBL1,-3.77305289070231,-5.65957933605346
SLC26A2,-3.77042456773414,-5.65563685160121
MYH15,3.76812536171146,5.65218804256719
ABCB9,3.7666766089886,5.6500149134829
NDST1,3.76403756029984,5.64605634044976
ACOT12,-3.75891164713484,-5.63836747070226
SELENBP1,-3.75220121124063,-5.62830181686095
KDF1,-3.75090082497716,-5.62635123746574
SUSD2,-3.74747987885241,-5.62121981827862
PNPLA6,-3.74674154612706,-5.62011231919059
KIAA1549,-3.74492997139308,-5.61739495708962
TUBB4A,-3.74208017349282,-5.61312026023923
PSMB9,3.7375999443089,5.60639991646335
METTL7B,3.73400540815529,5.60100811223293
RELB,3.7328105610483,5.59921584157245
AVPR2,3.72482385771586,5.58723578657379
CEP135,3.71939354686378,5.57909032029567
PRKAG2,3.71550879229525,5.57326318844288
ENO2,-3.71507911100125,-5.57261866650188
MT2A,-3.71386498621511,-5.57079747932266
IFI44,3.83906897886015,5.75860346829023
ABLIM1,-3.70076896457075,-5.55115344685612
MAGI2,-3.69367720053946,-5.54051580080919
METTL1,3.69043742515704,5.53565613773556
CX3CL1,3.68984899238995,5.53477348858492
GAA,-3.68796648903423,-5.53194973355135
ENC1,3.68005127913474,5.52007691870211
CARD10,3.67612825313373,5.51419237970059
GTF2F2,3.67128154953363,5.50692232430045
RAB3D,-3.66594884829398,-5.49892327244097
TSPAN15,-3.63901219934615,-5.45851829901923
RAP1GAP2,-3.63284235387941,-5.44926353081912
KLHL5,-3.61554129033002,-5.42331193549503
FOXK1,3.61472869498843,5.42209304248265
WT1,3.59637418311312,5.39456127466968
L1CAM,3.57425955487407,5.3613893323111
ZNF185,-3.57168891900694,-5.35753337851041
SASH1,-3.56711667510265,-5.35067501265398
TAGLN2,-3.5618883827012,-5.3428325740518
EPHB4,3.56115666378461,5.34173499567691
LAMC3,3.66976438204022,5.50464657306033
RXFP4,-3.53249713942669,-5.29874570914003
TIMM44,3.52993331076857,5.29489996615286
AAK1,-3.50523620074839,-5.25785430112258
YES1,3.49390311440213,5.24085467160319
SYNGR1,-3.48518959988864,-5.22778439983296
TMEM156,-3.48329463007939,-5.22494194511908
H2BC12,-3.47003494577424,-5.20505241866136
PPM1H,-3.46974284593815,-5.20461426890722
PRKCA,-3.46947408465594,-5.20421112698391
DPYD,3.46773993104206,5.20160989656309
TCF7L2,-3.46326005466539,-5.19489008199808
ITPKB,3.45868527380804,5.18802791071206
FTH1,3.45663077939806,5.18494616909709
ADPRHL1,-3.45523770114268,-5.18285655171402
CALHM2,3.44788740324491,5.17183110486737
HOXB13,-3.44745868965778,-5.17118803448667
COTL1,3.44710368236107,5.1706555235416
CMTM7,3.44697322915041,5.17045984372561
IER5,3.44252905528277,5.16379358292416
CEP126,-3.43441839475249,-5.15162759212873
BARX2,3.52347357509807,5.28521036264711
AGR2,-3.43033426456921,-5.14550139685382
TENT5C,-3.42776496338505,-5.14164744507758
ADCY9,-3.42521739345041,-5.13782609017561
SLC30A4,-3.42302344813999,-5.13453517220999
DEPP1,3.42155064003926,5.13232596005889
ITGB4,3.41217746897916,5.11826620346874
CPA4,3.41031827361484,5.11547741042226
TMEM59,-3.40745459538625,-5.11118189307938
HMGB3,-3.40418854566567,-5.1062828184985
RHEBL1,3.4003778487002,5.1005667730503
SLC19A2,3.39313312397916,5.08969968596874
ID3,-3.38678015336833,-5.0801702300525
WISP2,-3.38534266669884,-5.07801400004826
RGS17,3.38428946143827,5.07643419215741
UPRT,-3.38243481435143,-5.07365222152714
RHEB,3.3789935724853,5.06849035872795
SYT17,-3.36988845884035,-5.05483268826053
DOCK4,3.3593380543912,5.0390070815868
ARID3B,-3.35886603742321,-5.03829905613482
MPC1,-3.35141373448723,-5.02712060173084
MGST1,-3.34634065919185,-5.01951098878778
LIMK1,3.33907277739852,5.00860916609778
SLCO3A1,3.32812299593066,4.99218449389599
RELL1,3.32593770765969,4.98890656148953
COG6,-3.32382065439691,-4.98573098159537
NEXN,-3.32225747268803,-4.98338620903205
WASHC3,-3.31614422075909,-4.97421633113863
EPB41L4B,-3.30820247862395,-4.96230371793592
MFAP2,3.30557516559906,4.95836274839859
ASAH1,-3.30094409828319,-4.95141614742479
B3GALT1,-3.37128028843743,-5.05692043265615
KAT14,-3.29703634427136,-4.94555451640704
RCN1,3.28869411586221,4.93304117379332
PLAU,3.28138733629782,4.92208100444673
HRH1,3.27911752519612,4.91867628779418
PTBP2,3.27485329725344,4.91227994588016
TRIM62,3.27140686268342,4.90711029402513
KBTBD3,-3.26769373657225,-4.90154060485837
ADAT2,3.26705633100826,4.90058449651239
RGS4,3.26385047877384,4.89577571816076
ZNF32,-3.26318902454163,-4.89478353681245
FOSL1,3.26105176183559,4.89157764275338
ECE1,3.25617772939851,4.88426659409776
MED13L,3.2513987569667,4.87709813545005
CBLB,-3.24732477117926,-4.87098715676889
DDX60,3.24305565472318,4.86458348208477
XAF1,3.2403862762036,4.8605794143054
CRABP2,3.23908523275763,4.85862784913644
SMPDL3A,-3.23175581116441,-4.84763371674662
HACD2,-3.22750631486179,-4.84125947229268
TKFC,-3.22639462962401,-4.83959194443601
LIPH,-3.21116743151759,-4.81675114727638
ITPRIP,3.20901790892881,4.81352686339321
ARMCX6,-3.20407892945679,-4.80611839418519
SIDT2,-3.20142105180984,-4.80213157771476
NCK2,3.20138980471086,4.80208470706629
SEC23B,-3.19808551492621,-4.79712827238932
SH3D21,3.1974422914165,4.79616343712475
TNIP1,3.19487340175603,4.79231010263404
IGF2BP3,3.18870279367075,4.78305419050613
TSPAN6,-3.17732279928286,-4.76598419892429
TMSB15A,-3.17659406119389,-4.76489109179083
TACC1,-3.17642370261109,-4.76463555391664
AP1S3,-3.17590380568468,-4.76385570852702
RAB3B,-3.17551501339211,-4.76327252008817
MASTL,3.1734623075685,4.76019346135275
B3GALNT1,-3.17001120589116,-4.75501680883674
MFSD11,-3.16446865098028,-4.74670297647042
C6orf89,-3.16326898717393,-4.74490348076089
FAM174B,-3.15747090063492,-4.73620635095238
CKS1B,3.15673982714073,4.7351097407111
RAET1G,-3.15559828776272,-4.73339743164408
CTNNA2,-3.31113287883038,-4.96669931824557
ACP2,-3.14277498319183,-4.71416247478775
SMPD2,3.14218395319378,4.71327592979067
COL1A1,-3.1403768416292,-4.7105652624438
LRSAM1,-3.13527825411744,-4.70291738117616
PLEKHO2,3.13230983953848,4.69846475930772
PHF5A,3.12946571219785,4.69419856829678
VDR,3.12437396591971,4.68656094887957
ELL2,-3.12433996840425,-4.68650995260638
TMEM45A,-3.11977879706076,-4.67966819559114
FAS,3.11535609737719,4.67303414606578
DHODH,3.11337356428709,4.67006034643063
EHD1,3.11166033957597,4.66749050936396
HMOX1,3.1105859183076,4.6658788774614
ABCA5,-3.10952011619558,-4.66428017429337
TAP1,3.1086584526569,4.66298767898535
DDRGK1,-3.10706725365779,-4.66060088048668
NMUR1,3.15568692415332,4.73353038622998
DNAJC2,3.10481963614461,4.65722945421691
PLEKHF1,3.10383449450289,4.65575174175433
YDJC,3.10160303922257,4.65240455883385
DMKN,-3.10142148756849,-4.65213223135273
CYB5D2,-3.09951795572512,-4.64927693358768
SMIM14,-3.09861532464514,-4.64792298696771
MTRF1L,3.09414374922103,4.64121562383155
DPY19L2,-3.08244777903806,-4.62367166855709
LARP6,-3.07869431199524,-4.61804146799286
MTHFS,-3.07585644657916,-4.61378466986874
ARHGAP18,3.07359075975117,4.61038613962675
SLX4IP,-3.0715883531452,-4.6073825297178
P2RX4,-3.07130784085243,-4.60696176127864
TRIM45,-3.06786413208211,-4.60179619812316
ALPP,-3.10886161893651,-4.66329242840477
CRYL1,-3.06222697294463,-4.59334045941694
PCDHAC2,-3.10445929446285,-4.65668894169428
PLOD1,3.05928795097277,4.58893192645916
SAT1,-3.05818076348559,-4.58727114522839
GDPGP1,-3.05773367575726,-4.58660051363589
MDM1,3.05652998315511,4.58479497473266
SH3BGRL2,-3.05632519428174,-4.58448779142261
BCL6,-3.05524649119902,-4.58286973679853
IL4I1,3.09515435698239,4.64273153547358
ARL6IP5,-3.04882726379343,-4.57324089569014
REEP4,3.0475048140483,4.57125722107245
SLC2A11,-3.04681831155353,-4.5702274673303
BTN3A2,3.04602231098582,4.56903346647873
MXD1,-3.04292697044453,-4.5643904556668
TNS3,-3.04034852511681,-4.56052278767521
LXN,-3.03970352306605,-4.55955528459907
GDA,-3.03811556339339,-4.55717334509009
THSD7A,-3.03778862138734,-4.55668293208101
BTG3,3.03588910446466,4.55383365669699
CRIP1,-3.03202485280271,-4.54803727920407
PEX11B,-3.03168729618536,-4.54753094427804
HMGA2,3.02946884635244,4.54420326952866
FBXO44,-3.02897218374375,-4.54345827561562
ANKRD36,3.02817221998003,4.54225832997004
CRNKL1,-3.02721222855924,-4.54081834283886
RAB31,3.02681816863151,4.54022725294726
R3HCC1,-3.02591534925533,-4.53887302388299
HCFC2,-3.02510536322989,-4.53765804484483
DMC1,3.02209143879256,4.53313715818884
LGALSL,-3.02012481751952,-4.53018722627928
PIGT,-3.01592882488992,-4.52389323733488
PITPNC1,3.01210376567492,4.51815564851238
EPHA2,3.00566078636208,4.50849117954312
JAZF1,-3.00531652318624,-4.50797478477936
LAMA4,2.9993382151269,4.49900732269035
C20orf96,-2.99614040913627,-4.49421061370441
KIZ,-2.99492954175279,-4.49239431262919
TBC1D2,3.0287784779869,4.54316771698035
LGALS3BP,2.98306117543272,4.47459176314908
TPST2,2.98012044625573,4.47018066938359
IPMK,2.97152866193852,4.45729299290778
ACOT8,-2.97100748905772,-4.45651123358658
INPP5E,2.97041360302181,4.45562040453271
VAMP1,2.96688830978026,4.45033246467039
LRRC8E,-2.96465977308652,-4.44698965962978
ZNF805,2.95012362338113,4.4251854350717
PKD1L1,-2.94684125991808,-4.42026188987712
PORCN,-2.94417534634983,-4.41626301952475
PLEKHA7,-2.94417473976068,-4.41626210964102
RAP2B,-2.93831554391287,-4.40747331586931
RTKN2,2.93484095714466,4.40226143571699
SLC16A5,-2.93131009696611,-4.39696514544917
BNIP2,2.93073729882678,4.39610594824017
PKP2,-2.95968123837981,-4.43952185756971
GPC1,2.9288612425029,4.39329186375435
PCTP,-2.922604426928,-4.383906640392
PPP2R2C,-2.91937942898169,-4.37906914347253
FAM3C,2.91841581420962,4.37762372131443
SLC25A45,-2.91761415151513,-4.3764212272727
NAPA,-2.9139167255602,-4.3708750883403
AGPAT3,-2.91036864839622,-4.36555297259433
PUM3,2.9082946658938,4.3624419988407
ST6GAL1,2.90681015545105,4.36021523317658
RABAC1,-2.90301974725933,-4.35452962088899
RB1CC1,2.89979735761947,4.34969603642921
NPAS2,-2.89951745737049,-4.34927618605573
MMP2,2.89793557303236,4.34690335954854
PPP1R3C,-2.92142339356206,-4.38213509034309
FZD4,-2.89163088120945,-4.33744632181418
PDK2,-2.87692967894699,-4.31539451842048
ELOVL5,2.87644826201222,4.31467239301833
EYA2,-2.89956089365789,-4.34934134048684
CSTF2T,-2.87476108001749,-4.31214162002624
GPRC5A,-2.87421881560269,-4.31132822340404
PJA1,-2.87322784614217,-4.30984176921326
ZBED5,-2.86681184282116,-4.30021776423174
NPTXR,-2.86608683591377,-4.29913025387066
AP5S1,-2.8660102862815,-4.29901542942225
CD9,2.86361220052981,4.29541830079472
CFL2,-2.85962025904903,-4.28943038857354
MTRES1,-2.85958780865941,-4.28938171298912
EDEM2,-2.85662814799535,-4.28494222199302
ITPRID2,2.85511365488516,4.28267048232774
CFAP300,-2.85452359659504,-4.28178539489256
RHOF,2.84994740525433,4.27492110788149
COCH,-2.87071455792704,-4.30607183689056
RAB27B,-2.84816985382565,-4.27225478073847
EHD2,-2.84731621507297,-4.27097432260945
ENTPD7,-2.84356889324245,-4.26535333986368
SELENOW,-2.84083643095397,-4.26125464643096
FAM133B,2.83915817541569,4.25873726312353
MEF2A,2.83915253154012,4.25872879731018
TMC6,-2.83760748394419,-4.25641122591628
DNTTIP1,2.83547151636522,4.25320727454783
ZNF654,2.83449717276549,4.25174575914824
TPSG1,2.83371119540388,4.25056679310582
AQP3,-2.85395244109215,-4.28092866163822
HPSE,-2.83320148085484,-4.24980222128226
FASTKD5,-2.82967784646362,-4.24451676969543
SLC2A4RG,2.82878794703597,4.24318192055395
SMOX,2.82747607873297,4.24121411809945
ZZEF1,2.82726083823627,4.2408912573544
ZNF774,-2.82682755055093,-4.24024132582639
CDC42EP4,2.82489896997722,4.23734845496583
PML,2.82402048485806,4.23603072728709
ABCG2,-2.81992185403824,-4.22988278105736
CHGB,-2.8183843682509,-4.22757655237635
TSPYL4,-2.8177087043857,-4.22656305657855
IVD,2.81734569022487,4.2260185353373
ALDH6A1,-2.81457113881718,-4.22185670822577
CACNG4,2.81015333182817,4.21522999774225
BID,2.80932224547546,4.21398336821319
CA8,2.8089958255449,4.21349373831735
CEP170,2.80651614405556,4.20977421608334
SDK1,-2.80596821649421,-4.20895232474131
IGF2BP2,2.80571858023322,4.20857787034983
CTDSPL2,2.8051232374296,4.2076848561444
CD47,2.80182587482491,4.20273881223736
UBE2C,2.80178241584355,4.20267362376532
EPHA7,2.80003708510891,4.20005562766336
ATL2,2.79859453552472,4.19789180328708
LHFPL6,-2.79825024672473,-4.19737537008709
MYO18A,2.79759660151573,4.1963949022736
TFF3,-2.79713976946165,-4.19570965419248
HDAC8,-2.78683668426256,-4.18025502639384
PRKCG,-2.78633252359059,-4.17949878538588
S100A2,2.7831710724527,4.17475660867905
ZNF569,2.77712272603265,4.16568408904898
NOG,2.77635951498367,4.1645392724755
RAD51,2.77506060477332,4.16259090715998
FUNDC1,-2.77457027757103,-4.16185541635654
LONRF3,2.77411694541912,4.16117541812868
EFR3B,-2.77387040057332,-4.16080560085998
SLC27A5,-2.77340738536345,-4.16011107804518
COL7A1,2.78581442019703,4.17872163029554
MAMDC2,2.78468917293965,4.17703375940947
ATP8B2,-2.76958315884192,-4.15437473826288
NLRC5,2.76838867360884,4.15258301041326
DNAJC3,-2.76727325250762,-4.15090987876143
SLC25A21,-2.76688332189886,-4.15032498284829
PPT2,-2.76624839979175,-4.14937259968763
HAS2,-2.7626367239714,-4.1439550859571
HOXB5,2.75885683206784,4.13828524810176
CTHRC1,-2.76885863650185,-4.15328795475278
POLR3G,2.75607132036435,4.13410698054652
C11orf74,-2.7545982271852,-4.1318973407778
CHD1,2.75437644665017,4.13156466997525
FIG4,-2.75365263711356,-4.13047895567034
FBXO3,-2.75188969001437,-4.12783453502156
ITGA5,2.74944767160225,4.12417150740337
EFHD2,2.74885346802716,4.12328020204074
NUDT11,-2.74618366237111,-4.11927549355666
TM2D2,-2.74415189588774,-4.11622784383161
VAMP8,-2.74327584451688,-4.11491376677532
MTFR2,2.74087350377628,4.11131025566442
BTAF1,2.74009228573694,4.11013842860541
KDM4D,-2.73801266976087,-4.10701900464131
ADRB1,-2.73701133098985,-4.10551699648478
PLS1,-2.73404824243078,-4.10107236364617
PAQR5,2.7328758890523,4.09931383357845
E2F4,2.72842096291816,4.09263144437724
GREB1L,-2.72813903953878,-4.09220855930817
CTSD,2.72558595652487,4.0883789347873
WNT5B,2.72542488670962,4.08813733006443
PSMB8,2.72077349058983,4.08116023588475
CARF,-2.72004153541407,-4.0800623031211
ZFP36L1,2.71840520445804,4.07760780668706
SSPN,-2.71734123828834,-4.07601185743251
GPR176,2.71732804488337,4.07599206732506
CCDC9B,2.71732049357447,4.07598074036171
P3H2,-2.7156489410365,-4.07347341155475
BLVRA,-2.71431950480149,-4.07147925720223
SLC44A4,-2.71427202038917,-4.07140803058376
RND3,-2.71426127867253,-4.07139191800879
ANP32B,2.71399834017663,4.07099751026495
CRAMP1,2.7137296430978,4.0705944646467
VPS16,-2.71231830341586,-4.06847745512379
ERMP1,-2.70839779762351,-4.06259669643527
PLEK2,2.70679851568394,4.06019777352591
HEATR5B,-2.7045423019268,-4.0568134528902
SORBS2,-2.71194746192767,-4.0679211928915
ATG16L1,2.70185091854065,4.05277637781098
WSB2,-2.70118332633153,-4.05177498949729
CXCL1,2.70084071784206,4.05126107676309
PPP1R9A,-2.74698785454983,-4.12048178182475
GSTA4,-2.70006098137079,-4.05009147205619
ACTR1B,-2.699101645397,-4.0486524680955
NRSN2,-2.6970619972637,-4.04559299589555
TRAF2,2.69667188612276,4.04500782918414
TP53INP2,-2.69462730158285,-4.04194095237427
NEDD4,2.69085332793218,4.03627999189827
COL5A2,-2.68975277301234,-4.03462915951851
B4GALT4,-2.68616869895691,-4.02925304843536
AGFG2,-2.68452284811696,-4.02678427217544
TIFA,2.67806567091907,4.01709850637861
KLHL4,2.67548816298199,4.01323224447299
ATP2A3,-2.67946541039605,-4.01919811559408
CDC14A,2.67218113143518,4.00827169715277
JUP,-2.67194018990936,-4.00791028486404
RNFT2,-2.6707653160201,-4.00614797403015
PGM2L1,-2.66977933108086,-4.00466899662129
MTBP,2.66956370683771,4.00434556025656
MNS1,2.66862373829237,4.00293560743856
CLDN1,-2.66758892996338,-4.00138339494507
CITED2,-2.66679738675467,-4.000196080132
CXXC5,2.66630583701691,3.99945875552536
NOC3L,2.662518208197,3.9937773122955
ADA,-2.66124682502527,-3.99187023753791
CACFD1,-2.65603679752912,-3.98405519629368
BCAS4,-2.65316188994286,-3.97974283491429
LPGAT1,-2.65235890550783,-3.97853835826175
GPATCH3,-2.64709508111894,-3.97064262167841
GSTM2,-2.64289413611328,-3.96434120416992
DRAP1,2.64227323225566,3.96340984838349
LMBRD1,-2.64188191766054,-3.96282287649081
TOX,2.64064999186332,3.96097498779498
S100A3,2.64061463075452,3.96092194613178
ST6GALNAC2,-2.64057041343044,-3.96085562014566
SEL1L,-2.64040873454031,-3.96061310181047
HES2,-2.63671106588616,-3.95506659882924
LRRC28,-2.63670021800802,-3.95505032701203
KLF5,-2.63260499957447,-3.94890749936171
UBTD2,-2.63076943877552,-3.94615415816328
BABAM2,-2.62919782317128,-3.94379673475692
MOSPD3,-2.62086826022155,-3.93130239033232
TM4SF1,2.61888999863638,3.92833499795457
F3,-2.61835326040747,-3.92752989061121
ARHGDIB,2.61453689125982,3.92180533688973
NFU1,-2.60981359143,-3.914720387145
DGCR6,-2.60967866116215,-3.91451799174323
DPH7,2.60557941448027,3.90836912172041
BAG2,2.60369749044784,3.90554623567176
AKAP12,-2.60322426753985,-3.90483640130977
GJB7,-2.62808713004745,-3.94213069507117
MYSM1,2.60287818799134,3.90431728198701
WDR59,2.60253112808941,3.90379669213412
PIGM,-2.60202912727953,-3.90304369091929
