genesymbol	geneset
RHOB	PDGF_ERK_DN.V1_DN
RHOB	IL2_UP.V1_UP
RHOB	RPS14_DN.V1_UP
RHOB	TGFB_UP.V1_UP
RHOB	STK33_NOMO_UP
RHOB	STK33_SKM_UP
RHOB	IL15_UP.V1_UP
RHOB	STK33_UP
FOSB	IL21_UP.V1_UP
FOSB	CAMP_UP.V1_DN
FOSB	RELA_DN.V1_UP
TLR2	MYC_UP.V1_DN
TLR2	PKCA_DN.V1_DN
TLR2	RB_P107_DN.V1_DN
TLR2	KRAS.DF.V1_UP
TLR2	E2F3_UP.V1_DN
TAP1	MEL18_DN.V1_UP
TAP1	EGFR_UP.V1_UP
TAP1	MEK_UP.V1_DN
TAP1	LTE2_UP.V1_DN
TAP1	CYCLIN_D1_UP.V1_UP
TAP1	BMI1_DN.V1_UP
IL12B	WNT_UP.V1_UP
IL12B	CTIP_DN.V1_DN
IL12B	KRAS.AMP.LUNG_UP.V1_DN
REL	MTOR_UP.N4.V1_DN
REL	ATM_DN.V1_UP
IL23A	PRC2_SUZ12_UP.V1_DN
IL23A	KRAS.KIDNEY_UP.V1_DN
IL23A	DCA_UP.V1_UP
IL23A	KRAS.600.LUNG.BREAST_UP.V1_UP
IL23A	KRAS.LUNG_UP.V1_UP
IL23A	KRAS.LUNG.BREAST_UP.V1_UP
TNIP2	CRX_NRL_DN.V1_UP
TNIP2	MTOR_UP.V1_DN
MXD1	STK33_SKM_UP
TNFAIP8	MEK_UP.V1_UP
TNFAIP8	STK33_DN
TNFAIP8	TBK1.DF_UP
TNFAIP8	IL15_UP.V1_UP
TNFAIP8	STK33_SKM_DN
TNFAIP8	IL2_UP.V1_UP
TNFAIP8	RAF_UP.V1_UP
TNFAIP8	TGFB_UP.V1_UP
TNFAIP8	EGFR_UP.V1_UP
MCL1	E2F1_UP.V1_DN
KLF10	PDGF_ERK_DN.V1_DN
KLF10	CRX_DN.V1_DN
KLF10	ERBB2_UP.V1_DN
KLF10	PDGF_UP.V1_UP
KLF10	TGFB_UP.V1_UP
KLF10	AKT_UP_MTOR_DN.V1_UP
KLF10	BCAT.100_UP.V1_DN
KLF10	CSR_EARLY_UP.V1_UP
KLF10	RELA_DN.V1_UP
IER3	P53_DN.V2_UP
IER3	CRX_NRL_DN.V1_UP
IER3	RB_P130_DN.V1_UP
IER3	STK33_NOMO_UP
IER3	TBK1.DN.48HRS_DN
IER3	CRX_DN.V1_UP
DUSP2	PRC1_BMI_UP.V1_UP
DUSP2	KRAS.DF.V1_DN
DUSP2	IL2_UP.V1_UP
DUSP2	BMI1_DN_MEL18_DN.V1_DN
DUSP2	IL15_UP.V1_UP
DUSP2	LTE2_UP.V1_DN
DUSP2	MEL18_DN.V1_DN
DUSP2	MYC_UP.V1_UP
DUSP2	RAPA_EARLY_UP.V1_DN
CSF1	GCNP_SHH_UP_EARLY.V1_UP
CSF1	MEL18_DN.V1_UP
CSF1	BMI1_DN_MEL18_DN.V1_UP
CSF1	PTEN_DN.V2_UP
CSF1	E2F1_UP.V1_DN
CSF1	BMI1_DN.V1_UP
DUSP5	PDGF_UP.V1_UP
DUSP5	EGFR_UP.V1_UP
DUSP5	STK33_NOMO_UP
DUSP5	STK33_SKM_UP
DUSP5	TBK1.DF_UP
DUSP5	CYCLIN_D1_KE_.V1_UP
DUSP5	STK33_UP
SLC2A3	CAMP_UP.V1_DN
SLC2A3	IL2_UP.V1_UP
SLC2A3	LEF1_UP.V1_UP
SLC2A3	HOXA9_DN.V1_DN
SLC2A3	SNF5_DN.V1_UP
