source,interaction,target
X586,1,XGene7298__586
XGene3003__124975_91227_reverse,1,XMetab__124886___c____
XMetab__33032___c____,1,XGene3003__124975_91227_reverse
XGene7298__586,1,XMetab__33032___c____
X4609,1,X586
X1374,1,XGene4944__1374
XGene4944__1374,1,XMetab__6426851___c____
X3725,1,X1374
X5594,1,X3725
X5594,1,X4609
X2770,1,X7525
X7525,1,X5594
X2305,1,X4609
XMetab__60961___c____,1,X136
XGene7344__4860_reverse,1,XMetab__60961___c____
XMetab__190___c____,1,XGene7344__4860_reverse
X136,1,X2770
X10000,1,X6733
X2770,1,X10000
